3.099467227266323732e-01,3.710116569279567900e-01,5.263097899928117496e-01,4.815705253750642845e-01,4.515837829479272814e-01
2.614637378433141701e-01,2.296079469934086403e-01,4.235489058244377159e-01,3.420987478078061361e-01,3.541086921244184227e-01
3.119682710460983111e-01,3.623557633264549160e-01,5.229375189225292653e-01,4.635620010261365387e-01,4.433186227814618907e-01
2.777760031123669426e-01,3.098086443684374136e-01,4.922604241596158503e-01,4.196629773555547449e-01,4.183255010655161366e-01
3.130644707541072602e-01,3.847528408374115139e-01,5.412356186827893545e-01,4.869782662342395096e-01,4.581417250893579096e-01
2.724393589096564261e-01,2.852208334009075918e-01,4.647348188980088279e-01,3.921654254261539574e-01,3.974500463549188733e-01
2.881832549234014107e-01,2.826648984157842937e-01,4.589232327323076177e-01,3.899221510044657557e-01,3.980663729210146551e-01
2.460628118931174613e-01,2.355217625804976456e-01,4.195453754127630996e-01,3.340537901659672571e-01,3.564837692149524506e-01
2.278646764134016067e-01,2.345678996188877152e-01,4.209375228383904766e-01,3.281218711749829819e-01,3.669422887830487978e-01
2.258735045576459599e-01,2.398119246320215836e-01,4.223723714083243430e-01,3.298336488951147394e-01,3.690209763272146448e-01
3.596651565416708052e-01,3.521825588673467289e-01,5.241661530290921966e-01,4.439285862630283352e-01,4.992541167180328809e-01
3.297887811445983086e-01,4.393503720445370853e-01,5.845796145672235156e-01,5.228110950759330411e-01,4.691413461621874448e-01
3.060853856508011783e-01,3.680769024583863680e-01,5.422096286212091387e-01,4.608716855023730075e-01,4.396505249868907783e-01
3.289461481426014244e-01,3.234142626918668495e-01,5.006068992411196739e-01,4.059040937507025215e-01,4.763187310026615329e-01
2.316196070127454487e-01,2.362183148705158942e-01,4.126637876437132535e-01,3.161565097428509774e-01,3.726177771560186813e-01
3.675005102930771761e-01,5.771981496514183574e-01,5.879124814751739425e-01,5.771363956903364789e-01,4.718639451835728860e-01
2.963361013612798578e-01,3.392781298568826598e-01,5.179284580310246078e-01,4.270081527530727450e-01,4.221547988220049064e-01
2.478230051034635284e-01,2.530859288515300287e-01,4.268772201526504495e-01,3.292826569817394189e-01,3.985207325528480893e-01
2.627156196223594531e-01,2.635492492950043397e-01,4.422493193359020025e-01,3.469788228489990023e-01,4.040536064104385261e-01
