6.961941418358768008e-01,7.266512054255011011e-01,7.674717270286739446e-01,7.095404340651434438e-01,7.035510494702601481e-01,7.625419620929406728e-01,7.668819725036187807e-01,7.021296056901790150e-01,7.050527876863904586e-01,7.467622267999626251e-01
7.050947801961318095e-01,7.413515590376107411e-01,7.785833810328646187e-01,7.197999725287822503e-01,7.081386331603659601e-01,7.701949469456488284e-01,7.769400045669123678e-01,7.095096838299956854e-01,7.186999610562472274e-01,7.550396992067548441e-01
7.005090249594501106e-01,7.300247121110700066e-01,7.716409509440718129e-01,7.107926141607352477e-01,7.026769275807168702e-01,7.611968127422801267e-01,7.658401384893285258e-01,7.062245046328554654e-01,7.071104287550309397e-01,7.486970935874023292e-01
6.982224255976937632e-01,7.326281811524307797e-01,7.733550489265066386e-01,7.132674319397654950e-01,7.106258118800660162e-01,7.680416039051535249e-01,7.715820061809146591e-01,7.065027201537915635e-01,7.090226312225631489e-01,7.478837741986417154e-01
7.043504227747462432e-01,7.333303136177748982e-01,7.734050003546623087e-01,7.195397046464970803e-01,7.103037539164643865e-01,7.667895375670576996e-01,7.738441399404523136e-01,7.118495106392142002e-01,7.159035104364104285e-01,7.552841811454050758e-01
6.814470334899224158e-01,7.111785365714119456e-01,7.480642701398959593e-01,6.933144018375163586e-01,6.842661031926990933e-01,7.437594340775540713e-01,7.516539311404486501e-01,6.914844726894485705e-01,6.925056638967816980e-01,7.326648446245346280e-01
7.026722145133588171e-01,7.373317693759298130e-01,7.678607684480709406e-01,7.144009457187328049e-01,7.052263357236769892e-01,7.637174831339991199e-01,7.750921644969812618e-01,7.103194864221905602e-01,7.085411825841577693e-01,7.539892524717376476e-01
6.848141713668831621e-01,7.149002440063129127e-01,7.491135667745880689e-01,6.951894545875684228e-01,6.826010571386574854e-01,7.450837566982946303e-01,7.527525175694091963e-01,6.905964351320416084e-01,6.964974045266648650e-01,7.308902433297774781e-01
7.010191557704050780e-01,7.327815573170201047e-01,7.753657064954082578e-01,7.151308051042361003e-01,7.089724342579607486e-01,7.612446218693565969e-01,7.728546143838063154e-01,7.129206144611740514e-01,7.076895519741209784e-01,7.554265688870163142e-01
7.010500152820012820e-01,7.331163016382132858e-01,7.781230581782276889e-01,7.197288860689550205e-01,7.154737296836032323e-01,7.737044593631539069e-01,7.795616130464579907e-01,7.128483107155694221e-01,7.079553645204818002e-01,7.583266600383805622e-01
6.999092394399171191e-01,7.332740263018925342e-01,7.741288253509809314e-01,7.149228103655703714e-01,7.098655461545789747e-01,7.647892778757048315e-01,7.736136466008931567e-01,7.126776414666243786e-01,7.035635611373195486e-01,7.528180904111740901e-01
